A  	Element	Z  	N  	Energy  	JPi           	Mass Exc            	Unc       	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
21 	O      	8  	13 	0.0000  	(5/2+)        	8.062               	0.012     	3.42 S 0.1               	3.42                     	          	        	B-      	100.00      
22 	O      	8  	14 	0.0000  	0+            	9.28                	0.06      	2250 MS 90               	2.25                     	          	        	B-      	100.00      
22 	O      	8  	14 	0.0000  	0+            	9.28                	0.06      	2250 MS 90               	2.25                     	          	        	BN      	< 22.00     
23 	O      	8  	15 	0.0000  	1/2+          	14.62               	0.12      	97 MS 8                  	0.097                    	          	        	B-      	100.00      
23 	O      	8  	15 	0.0000  	1/2+          	14.62               	0.12      	97 MS 8                  	0.097                    	          	        	BN      	7.00        
24 	O      	8  	16 	0.0000  	0+            	18.5                	0.16      	72 MS 5                  	0.072                    	          	        	B-      	100.00      
24 	O      	8  	16 	0.0000  	0+            	18.5                	0.16      	72 MS 5                  	0.072                    	          	        	BN      	41.00       
25 	O      	8  	17 	0.0000  	(3/2+)        	27.33               	0.17      	6.3E-9 PS +1.1E-9-0.6E-9 	6.3E-21                  	          	        	N       	100.00      
26 	O      	8  	18 	0.0000  	0+            	34.66               	0.16      	4.5 PS +3.2-3.4          	4.5E-12                  	          	        	N?      	            
26 	O      	8  	18 	0.0000  	0+            	34.66               	0.16      	4.5 PS +3.2-3.4          	4.5E-12                  	          	        	2N      	100.00      
27 	O      	8  	19 	        	              	44.7                	0.5       	260 NS LT                	2.6E-7                   	          	        	N       	?           
28 	O      	8  	20 	        	0+            	52.1                	0.7       	100 NS LT                	1.0000000000000001E-7    	          	        	N       	?           
14 	F      	9  	5  	0.0000  	2-            	31.96               	0.04      	910 KEV 100              	5.00769E-22              	          	        	P       	            
15 	F      	9  	6  	0.0000  	1/2+          	16.567              	0.014     	660 KEV 2                	6.905E-22                	          	        	P       	100.00      
16 	F      	9  	7  	0.0000  	0-            	10.68               	0.008     	40 KEV 20                	1.139E-20                	          	        	P       	100.00      
17 	F      	9  	8  	0.0000  	5/2+          	1.9517              	2.5E-4    	64.49 S 0.16             	64.49                    	          	        	EC      	100.00      
18 	F      	9  	9  	0.0000  	1+            	0.8731              	5.0E-4    	109.77 M 0.05            	6586.2                   	          	        	EC      	100.00      
19 	F      	9  	10 	0.0000  	1/2+          	-1.4874442          	9.0E-7    	STABLE                   	infinity                 	100%      	        	        	            
20 	F      	9  	11 	0.0000  	2+            	-0.01746            	3.0E-5    	11.07 S 0.06             	11.07                    	          	        	B-      	100.00      
21 	F      	9  	12 	0.0000  	5/2+          	-0.0476             	0.0018    	4.158 S 0.02             	4.158                    	          	        	B-      	100.00      
22 	F      	9  	13 	0.0000  	(4+)          	2.793               	0.012     	4230 MS 40               	4.23                     	          	        	B-      	100.00      
22 	F      	9  	13 	0.0000  	(4+)          	2.793               	0.012     	4230 MS 40               	4.23                     	          	        	BN      	< 11.0      
23 	F      	9  	14 	0.0000  	5/2+          	3.29                	0.03      	2230 MS 14               	2.23                     	          	        	B-      	100.00      
23 	F      	9  	14 	0.0000  	5/2+          	3.29                	0.03      	2230 MS 14               	2.23                     	          	        	BN      	< 14.00     
24 	F      	9  	15 	0.0000  	(3+)          	7.54                	0.1       	382 MS 16                	0.382                    	          	        	B-      	100.00      
24 	F      	9  	15 	0.0000  	(3+)          	7.54                	0.1       	382 MS 16                	0.382                    	          	        	BN      	< 5.90      
25 	F      	9  	16 	0.0000  	5/2+          	11.33               	0.1       	80 MS 9                  	0.08                     	          	        	B-      	100.00      
25 	F      	9  	16 	0.0000  	5/2+          	11.33               	0.1       	80 MS 9                  	0.08                     	          	        	BN      	19.50       
25 	F      	9  	16 	0.0000  	5/2+          	11.33               	0.1       	80 MS 9                  	0.08                     	          	        	B2N     	?           
26 	F      	9  	17 	0.0000  	1+            	18.65               	0.11      	8.2 MS 0.9               	0.0082                   	          	        	B2N     	?           
26 	F      	9  	17 	0.0000  	1+            	18.65               	0.11      	8.2 MS 0.9               	0.0082                   	          	        	B-      	100.00      
26 	F      	9  	17 	0.0000  	1+            	18.65               	0.11      	8.2 MS 0.9               	0.0082                   	          	        	BN      	13.50       
27 	F      	9  	18 	0.0000  	(5/2+)        	25.5                	0.4       	5.0 MS 0.2               	0.005                    	          	        	B3N     	?           
27 	F      	9  	18 	0.0000  	(5/2+)        	25.5                	0.4       	5.0 MS 0.2               	0.005                    	          	        	B-      	100.00      
27 	F      	9  	18 	0.0000  	(5/2+)        	25.5                	0.4       	5.0 MS 0.2               	0.005                    	          	        	BN      	90.00       
27 	F      	9  	18 	0.0000  	(5/2+)        	25.5                	0.4       	5.0 MS 0.2               	0.005                    	          	        	B2N     	?           
28 	F      	9  	19 	0.0000  	              	33.7                	0.4       	0.046 AS AP              	4.6E-20                  	          	        	N       	            
29 	F      	9  	20 	0.0000  	(5/2+)        	40.2                	0.5       	2.67 MS 0.21             	0.00267                  	          	        	B3N     	?           
29 	F      	9  	20 	0.0000  	(5/2+)        	40.2                	0.5       	2.67 MS 0.21             	0.00267                  	          	        	B-      	100.00      
29 	F      	9  	20 	0.0000  	(5/2+)        	40.2                	0.5       	2.67 MS 0.21             	0.00267                  	          	        	BN      	> 20.00     
29 	F      	9  	20 	0.0000  	(5/2+)        	40.2                	0.5       	2.67 MS 0.21             	0.00267                  	          	        	B2N     	?           
30 	F      	9  	21 	0.0000  	              	48.1                	0.6       	                         	                         	          	        	N       	            
31 	F      	9  	22 	0.0000  	              	56.1                	0.5       	                         	                         	          	        	B3N     	?           
31 	F      	9  	22 	0.0000  	              	56.1                	0.5       	                         	                         	          	        	B-      	100.00      
31 	F      	9  	22 	0.0000  	              	56.1                	0.5       	                         	                         	          	        	BN      	?           
31 	F      	9  	22 	0.0000  	              	56.1                	0.5       	                         	                         	          	        	B2N     	?           
16 	Ne     	10 	6  	0.0000  	0+            	23.987              	0.02      	9E-21 S                  	9E-21                    	          	        	2P      	100.00      
